7
1       2       3       4       5       6       7
2       9       4       3       5       6       9
3       8       6       54      6954    2       65
4       584     3       8       6       15      32
5       7       98      3       12      56      84
6       10      0       36      1       6       8       
7       45      8       3       78      24      6

1       2       3       4       5       6       7
2       8       2       3       6       4       9
3       3       7       8       5       98      12       
4       5       69      97      6       8       7
5       4       3       9       7       2       8       
6       6       4       8       93      5       6
7       6       5       4       9       8       7       


